"package","version"
"R","3.4.0"
"grDevices","3.4.0"
"graphics","3.4.0"
"utils","3.4.0"
"stats","3.4.0"
"methods","3.4.0"
"tools","3.4.0"
"assertthat","0.2.0"
"bit","1.1-12"
"crayon","1.3.4"
"grid","3.4.0"
"R.methodsS3","1.7.1"
"cli","1.0.0"
"colorspace","1.3-2"
"curl","3.1"
"digest","0.6.15"
"fastmatch","1.1-0"
"ff","2.2-13"
"glue","1.2.0"
"jsonlite","1.5"
"lattice","0.20-35"
"magrittr","1.5"
"mime","0.5"
"openssl","1.0"
"R.oo","1.21.0"
"R6","2.2.2"
"Rcpp","0.12.15"
"rJava","0.9-9"
"rlang","0.2.0"
"stringi","1.1.6"
"utf8","1.1.3"
"dichromat","2.0-0"
"ffbase","0.12.3"
"git2r","0.21.0"
"httr","1.3.1"
"labeling","0.3"
"Matrix","1.2-12"
"memoise","1.1.0"
"munsell","0.4.3"
"pillar","1.1.0"
"plyr","1.8.4"
"R.utils","2.6.0"
"RColorBrewer","1.1-2"
"rstudioapi","0.7"
"splines","3.4.0"
"SqlRender","1.4.8"
"stringr","1.3.0"
"viridisLite","0.3.0"
"whisker","0.3-2"
"withr","2.1.1"
"codetools","0.2-15"
"DatabaseConnector","2.0.5"
"devtools","1.13.5"
"formatR","1.5"
"gtable","0.2.0"
"lazyeval","0.2.1"
"mailR","0.4.1"
"MASS","7.3-48"
"RcppParallel","4.3.20.2"
"reshape2","1.4.3"
"RJSONIO","1.3-0"
"scales","0.5.0"
"snow","0.4-2"
"survival","2.41-3"
"tibble","1.4.2"
"XML","3.98-1.10"
"Cyclops","1.3.0"
"DBI","0.7"
"FeatureExtraction","2.1.1"
"ggplot2","2.2.1"
"OhdsiRTools","1.5.2"
"CaseControl","1.4.2"
"gridExtra","2.3"
"pROC","1.10.0"
"RJDBC","0.2-7"
"CaseCrossover","1.0.1"
"CohortMethod","2.6.1"
"EmpiricalCalibration","1.3.6"
"MethodEvaluation","0.2.1"
"EvaluatingCaseControl","0.2.0"
